corpus_id,candidate_id,acn,query_id,silver_screening_status,silver_primary_event_type,silver_secondary_event_types,silver_multi_event_flag,reason_for_exclusion,labeler,label_date,verification_status,author_verification_status,author_verification_date,expanded_corpus_role,expanded_label_provenance,expanded_selection_note
ASRS_GOPS_00001,CAND_004466,1628945,Q02;Q04;Q11,include_ground_cabin_event,hazmat_mobility_device,dispatch_or_coordination,needs_author_review,,agent_silver_v0_2,2026-06-03,author_verified_single_reviewer,author_reported_no_issues,2026-06-03,seed_5000_author_verified_local_audit,preserved_seed_label,"Preserved from 5,000-row seed corpus."
ASRS_GOPS_00002,CAND_001402,2075611,Q02,include_ground_cabin_event,hazmat_mobility_device,maintenance_readiness;dispatch_or_coordination,needs_author_review,,agent_silver_v0_2,2026-06-03,author_verified_single_reviewer,author_reported_no_issues,2026-06-03,seed_5000_author_verified_local_audit,preserved_seed_label,"Preserved from 5,000-row seed corpus."
ASRS_GOPS_00003,CAND_004487,1622470,Q02;Q10,include_ground_cabin_event,hazmat_mobility_device,pushback_towing_chocks;maintenance_readiness;dispatch_or_coordination,needs_author_review,,agent_silver_v0_2,2026-06-03,author_verified_single_reviewer,author_reported_no_issues,2026-06-03,seed_5000_author_verified_local_audit,preserved_seed_label,"Preserved from 5,000-row seed corpus."
ASRS_GOPS_00004,CAND_001884,1981190,Q02;Q11,include_ground_cabin_event,hazmat_mobility_device,,false,,agent_silver_v0_2,2026-06-03,author_verified_single_reviewer,author_reported_no_issues,2026-06-03,seed_5000_author_verified_local_audit,preserved_seed_label,"Preserved from 5,000-row seed corpus."
ASRS_GOPS_00005,CAND_004922,1570831,Q02;Q11,include_ground_cabin_event,hazmat_mobility_device,,false,,agent_silver_v0_2,2026-06-03,author_verified_single_reviewer,author_reported_no_issues,2026-06-03,seed_5000_author_verified_local_audit,preserved_seed_label,"Preserved from 5,000-row seed corpus."
ASRS_GOPS_00006,CAND_004661,1603237,Q02,include_ground_cabin_event,hazmat_mobility_device,,false,,agent_silver_v0_2,2026-06-03,author_verified_single_reviewer,author_reported_no_issues,2026-06-03,seed_5000_author_verified_local_audit,preserved_seed_label,"Preserved from 5,000-row seed corpus."
ASRS_GOPS_00007,CAND_005290,1510308,Q02;Q10,include_ground_cabin_event,ramp_ground_handling,baggage_cargo_weight_balance;maintenance_readiness,needs_author_review,,agent_silver_v0_2,2026-06-03,author_verified_single_reviewer,author_reported_no_issues,2026-06-03,seed_5000_author_verified_local_audit,preserved_seed_label,"Preserved from 5,000-row seed corpus."
ASRS_GOPS_00008,CAND_003856,1701608,Q02;Q11,include_ground_cabin_event,hazmat_mobility_device,dispatch_or_coordination,needs_author_review,,agent_silver_v0_2,2026-06-03,author_verified_single_reviewer,author_reported_no_issues,2026-06-03,seed_5000_author_verified_local_audit,preserved_seed_label,"Preserved from 5,000-row seed corpus."
ASRS_GOPS_00009,CAND_004589,1610542,Q02;Q11,include_ground_cabin_event,hazmat_mobility_device,dispatch_or_coordination,needs_author_review,,agent_silver_v0_2,2026-06-03,author_verified_single_reviewer,author_reported_no_issues,2026-06-03,seed_5000_author_verified_local_audit,preserved_seed_label,"Preserved from 5,000-row seed corpus."
ASRS_GOPS_00010,CAND_004799,1586045,Q02;Q10;Q11,include_ground_cabin_event,hazmat_mobility_device,,false,,agent_silver_v0_2,2026-06-03,author_verified_single_reviewer,author_reported_no_issues,2026-06-03,seed_5000_author_verified_local_audit,preserved_seed_label,"Preserved from 5,000-row seed corpus."
ASRS_GOPS_00011,CAND_006014,1392092,Q02;Q04,include_ground_cabin_event,pushback_towing_chocks,,false,,agent_silver_v0_2,2026-06-03,author_verified_single_reviewer,author_reported_no_issues,2026-06-03,seed_5000_author_verified_local_audit,preserved_seed_label,"Preserved from 5,000-row seed corpus."
ASRS_GOPS_00012,CAND_004717,1597794,Q02;Q11,include_ground_cabin_event,hazmat_mobility_device,,false,,agent_silver_v0_2,2026-06-03,author_verified_single_reviewer,author_reported_no_issues,2026-06-03,seed_5000_author_verified_local_audit,preserved_seed_label,"Preserved from 5,000-row seed corpus."
